Time(s),StepIndex,C0_LocalTx,C0_LocalTy,C0_RzDeg,C1_LocalTx,C1_LocalTy,C1_RzDeg,C2_LocalTx,C2_LocalTy,C2_RzDeg,C3_LocalTx,C3_LocalTy,C3_RzDeg,C4_LocalTx,C4_LocalTy,C4_RzDeg,C5_LocalTx,C5_LocalTy,C5_RzDeg,C6_LocalTx,C6_LocalTy,C6_RzDeg
2.800000,84,-3.083201,-2.004562,0.269128,-4.105348,-3.967470,0.859887,0.043754,-2.132473,-0.675588,1.271508,-1.176054,0.231073,-0.399794,-0.242685,-0.035061,-1.250162,3.488101,1.054454,0.000000,0.000000,0.000000
2.833333,85,-3.083201,-2.004562,0.269128,-4.105348,-3.967470,0.859887,0.043754,-2.132473,-0.675588,1.271508,-1.176054,0.231073,-0.399794,-0.242685,-0.035061,-1.250162,3.488101,1.054454,0.000000,0.000000,0.000000
2.866667,86,-3.083201,-2.004562,0.269128,-4.105348,-3.967470,0.859887,0.043754,-2.132473,-0.675588,1.271508,-1.176054,0.231073,-0.399794,-0.242685,-0.035061,-1.250162,3.488101,1.054454,0.000000,0.000000,0.000000
2.900000,87,-3.083201,-2.004562,0.269128,-4.105348,-3.967470,0.859887,0.043754,-2.132473,-0.675588,1.271508,-1.176054,0.231073,-0.399794,-0.242685,-0.035061,-1.250162,3.488101,1.054454,0.000000,0.000000,0.000000
2.933333,88,-3.083201,-2.004562,0.269128,-4.105348,-3.967470,0.859887,0.043754,-2.132473,-0.675588,1.271508,-1.176054,0.231073,-0.399794,-0.242685,-0.035061,-1.250162,3.488101,1.054454,0.000000,0.000000,0.000000
2.966667,89,-3.083201,-2.004562,0.269128,-4.105348,-3.967470,0.859887,0.043754,-2.132473,-0.675588,1.271508,-1.176054,0.231073,-0.399794,-0.242685,-0.035061,-1.250162,3.488101,1.054454,0.000000,0.000000,0.000000
3.000000,90,-3.083201,-2.004562,0.269128,-4.105348,-3.967470,0.859887,0.043754,-2.132473,-0.675588,1.271508,-1.176054,0.231073,-0.399794,-0.242685,-0.035061,-1.250162,3.488101,1.054454,0.000000,0.000000,0.000000
3.033333,91,-3.083201,-2.004562,0.269128,-4.105348,-3.967470,0.859887,0.043754,-2.132473,-0.675588,1.271508,-1.176054,0.231073,-0.399794,-0.242685,-0.035061,-1.250162,3.488101,1.054454,0.000000,0.000000,0.000000
3.066667,92,-3.083201,-2.004562,0.269128,-4.105348,-3.967470,0.859887,0.043754,-2.132473,-0.675588,1.271508,-1.176054,0.231073,-0.399794,-0.242685,-0.035061,-1.250162,3.488101,1.054454,0.000000,0.000000,0.000000
3.100000,93,-3.083201,-2.004562,0.269128,-4.105348,-3.967470,0.859887,0.043754,-2.132473,-0.675588,1.271508,-1.176054,0.231073,-0.399794,-0.242685,-0.035061,-1.250162,3.488101,1.054454,0.000000,0.000000,0.000000
